case_id,user_id,department,previous_department,application,role,entitlement,hire_date,entitlement_grant_date,department_change_date,last_recertification_date,user_status,last_login_days,stale_access_days,privilege_level,toxic_combo,business_need,entitlement_owner,manager_name,assignment_type,source_role,effective_permission,risk_score,recommendation,rule_explanation,confidence,history_events
CASE-0043,USR-5136,Operations,,Payroll,Employee,read_reports,2024-11-07,2024-12-30,,2025-04-07,active,16,205,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'Payroll' (Berechtigung: 'read_reports').,Data Governance Team,Lea Richter,Direct,,True,-27,retain,recent_login<=30d (-10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2024-11-07|Joiner|Eintritt ins Unternehmen;2024-12-30|Grant|Berechtigung 'read_reports' zugewiesen;2025-04-07|Recert|Letzte Rezertifizierung (bestätigt);2026-02-24|Login|Letzter Login
CASE-0044,USR-4697,Finance,,Ticketing,Analyst,export_data,2022-10-03,2022-11-16,,2026-01-22,active,115,465,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Lars Hoffmann,Role-derived,Finance_Analyst_Base,True,15,retain,inactive_login>60d (+20); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),78.0,2022-10-03|Joiner|Eintritt ins Unternehmen;2022-11-16|Grant|Berechtigung 'export_data' zugewiesen;2025-11-17|Login|Letzter Login;2026-01-22|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0045,USR-3564,IT,,ERP,Manager,export_data,2020-06-17,2020-10-02,,2025-04-19,active,115,352,medium,0,Direkte Zuweisung für eine operative Tätigkeit in 'ERP' (Berechtigung: 'export_data').,Data Compliance Owner,Sven Berger,Direct,,True,23,retain,inactive_login>60d (+20); stale_access>180d (+18); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),66.8,2020-06-17|Joiner|Eintritt ins Unternehmen;2020-10-02|Grant|Berechtigung 'export_data' zugewiesen;2025-04-19|Recert|Letzte Rezertifizierung (bestätigt);2025-11-17|Login|Letzter Login
CASE-0046,USR-7965,IT,,ERP,Employee,admin_console,2024-06-09,2024-07-16,,2025-06-21,active,57,331,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'ERP' (Berechtigung: 'admin_console').,Security Operations Owner,Sven Berger,Direct,,True,-7,retain,inactive_login>30d (+10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2024-06-09|Joiner|Eintritt ins Unternehmen;2024-07-16|Grant|Berechtigung 'admin_console' zugewiesen;2025-06-21|Recert|Letzte Rezertifizierung (bestätigt);2026-01-14|Login|Letzter Login
CASE-0047,USR-7594,Operations,,IAM,Employee,admin_console,2022-10-18,2023-08-19,,2025-08-14,active,138,252,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Tim Behrens,Role-derived,Operations_Employee_Base,True,18,retain,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),73.8,2022-10-18|Joiner|Eintritt ins Unternehmen;2023-08-19|Grant|Berechtigung 'admin_console' zugewiesen;2025-08-14|Recert|Letzte Rezertifizierung (bestätigt);2025-10-25|Login|Letzter Login
CASE-0048,USR-5415,Legal,,Ticketing,Manager,read_reports,2019-08-21,2019-10-07,,,active,195,387,low,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Markus Hahn,Role-derived,Legal_Manager_Base,True,30,retain,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),57.0,2019-08-21|Joiner|Eintritt ins Unternehmen;2019-10-07|Grant|Berechtigung 'read_reports' zugewiesen;2025-08-29|Login|Letzter Login
CASE-0049,USR-2713,Sales,,CRM,Employee,manage_identities,2025-11-29,2026-01-24,,2025-08-23,active,105,355,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,David Brandt,Role-derived,Sales_Employee_Base,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2025-08-23|Recert|Letzte Rezertifizierung (bestätigt);2025-11-27|Login|Letzter Login;2025-11-29|Joiner|Eintritt ins Unternehmen;2026-01-24|Grant|Berechtigung 'manage_identities' zugewiesen
CASE-0050,USR-1018,IT,,BI,Manager,admin_console,2024-06-12,2024-07-28,,,active,118,211,low,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Julia Neumann,Role-derived,IT_Manager_Base,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2024-06-12|Joiner|Eintritt ins Unternehmen;2024-07-28|Grant|Berechtigung 'admin_console' zugewiesen;2025-11-14|Login|Letzter Login
CASE-0051,USR-4920,IT,,BI,Analyst,approve_payments,2021-08-18,2022-01-02,,2026-01-28,active,79,282,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,Finance Access Owner,Sven Berger,Role-derived,IT_Analyst_Base,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2021-08-18|Joiner|Eintritt ins Unternehmen;2022-01-02|Grant|Berechtigung 'approve_payments' zugewiesen;2025-12-23|Login|Letzter Login;2026-01-28|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0052,USR-7807,HR,,Payroll,Contractor,export_data,2024-07-10,2024-09-09,,2025-07-29,active,62,233,medium,0,Berechtigung ist für die Rolle 'Contractor' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Mara Klein,Role-derived,HR_Contractor_Base,True,33,retain,inactive_login>60d (+20); stale_access>180d (+18); medium_privilege (+10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),52.8,2024-07-10|Joiner|Eintritt ins Unternehmen;2024-09-09|Grant|Berechtigung 'export_data' zugewiesen;2025-07-29|Recert|Letzte Rezertifizierung (bestätigt);2026-01-09|Login|Letzter Login
CASE-0053,USR-9022,Operations,,CRM,Employee,export_data,2024-01-01,2024-06-24,,,inactive,137,247,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Tim Behrens,Role-derived,Operations_Employee_Base,True,38,review,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); inactive_user (+15),54.2,2024-01-01|Joiner|Eintritt ins Unternehmen;2024-06-24|Grant|Berechtigung 'export_data' zugewiesen;2025-10-26|Login|Letzter Login
CASE-0054,USR-7246,Sales,,Payroll,Employee,user_support,2021-06-18,2022-06-11,,2025-11-09,active,166,77,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,David Brandt,Role-derived,Sales_Employee_Base,True,-8,retain,inactive_login>120d (+35); access_used_last_quarter (-8); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2021-06-18|Joiner|Eintritt ins Unternehmen;2022-06-11|Grant|Berechtigung 'user_support' zugewiesen;2025-09-27|Login|Letzter Login;2025-11-09|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0055,USR-3529,Sales,,ERP,Admin,export_data,2024-04-14,2024-06-05,,2026-02-10,terminated,200,496,low,0,Berechtigung ist für die Rolle 'Admin' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,David Brandt,Role-derived,Sales_Admin_Base,True,75,revoke,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); terminated_user_orphan (+30),57.0,2024-04-14|Joiner|Eintritt ins Unternehmen;2024-06-05|Grant|Berechtigung 'export_data' zugewiesen;2025-08-24|Login|Letzter Login;2026-02-10|Recert|Letzte Rezertifizierung (bestätigt);2026-03-06|Leaver|Austritt aus dem Unternehmen
CASE-0056,USR-1588,Legal,,Ticketing,Analyst,read_reports,2025-05-01,2025-11-12,,,active,60,323,medium,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Sara Vogel,Role-derived,Legal_Analyst_Base,True,13,retain,inactive_login>30d (+10); stale_access>180d (+18); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),80.8,2025-05-01|Joiner|Eintritt ins Unternehmen;2025-11-12|Grant|Berechtigung 'read_reports' zugewiesen;2026-01-11|Login|Letzter Login
CASE-0057,USR-1753,Finance,,IAM,Employee,read_reports,2020-06-14,2021-05-05,,,active,75,183,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Lars Hoffmann,Role-derived,Finance_Employee_Base,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2020-06-14|Joiner|Eintritt ins Unternehmen;2021-05-05|Grant|Berechtigung 'read_reports' zugewiesen;2025-12-27|Login|Letzter Login
CASE-0058,USR-5161,Legal,Sales,Payroll,Analyst,manage_identities,2021-04-03,2021-07-02,2025-05-31,2025-11-03,active,170,4,high,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Markus Hahn,Role-derived,Legal_Analyst_Base,True,43,review,inactive_login>120d (+35); access_recently_used<=30d (-12); high_privilege (+25); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),61.2,2021-04-03|Joiner|Eintritt ins Unternehmen;2021-07-02|Grant|Berechtigung 'manage_identities' zugewiesen;2025-05-31|Mover|Abteilungswechsel von Sales nach Legal;2025-09-23|Login|Letzter Login;2025-11-03|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0059,USR-4263,IT,,Payroll,Employee,export_data,2024-04-20,2024-10-14,,2025-08-13,active,27,121,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Julia Neumann,Role-derived,IT_Employee_Base,True,-37,retain,recent_login<=30d (-10); stale_access>90d (+8); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2024-04-20|Joiner|Eintritt ins Unternehmen;2024-10-14|Grant|Berechtigung 'export_data' zugewiesen;2025-08-13|Recert|Letzte Rezertifizierung (bestätigt);2026-02-13|Login|Letzter Login
CASE-0060,USR-4770,Finance,Legal,Ticketing,Employee,manage_identities,2023-10-15,2024-03-04,2025-12-14,,active,56,325,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Nina Weber,Role-derived,Finance_Employee_Base,True,13,retain,inactive_login>30d (+10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),80.8,2023-10-15|Joiner|Eintritt ins Unternehmen;2024-03-04|Grant|Berechtigung 'manage_identities' zugewiesen;2025-12-14|Mover|Abteilungswechsel von Legal nach Finance;2026-01-15|Login|Letzter Login
CASE-0061,USR-6352,Finance,,BI,Contractor,export_data,2019-10-16,2020-03-23,,2025-08-10,active,44,102,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'BI' (Berechtigung: 'export_data').,Data Compliance Owner,Lars Hoffmann,Direct,,True,-7,retain,inactive_login>30d (+10); stale_access>90d (+8); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),99.0,2019-10-16|Joiner|Eintritt ins Unternehmen;2020-03-23|Grant|Berechtigung 'export_data' zugewiesen;2025-08-10|Recert|Letzte Rezertifizierung (bestätigt);2026-01-27|Login|Letzter Login
CASE-0062,USR-2886,Sales,,Payroll,Contractor,read_reports,2021-03-11,2021-07-21,,,active,36,386,high,0,Berechtigung ist für die Rolle 'Contractor' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,David Brandt,Role-derived,Sales_Contractor_Base,True,50,review,inactive_login>30d (+10); stale_access>365d (+30); high_privilege (+25); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),71.0,2021-03-11|Joiner|Eintritt ins Unternehmen;2021-07-21|Grant|Berechtigung 'read_reports' zugewiesen;2026-02-04|Login|Letzter Login
CASE-0063,USR-7242,Finance,,BI,Analyst,manage_identities,2023-06-14,2023-07-31,,2025-07-24,active,27,345,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Lars Hoffmann,Role-derived,Finance_Analyst_Base,True,-27,retain,recent_login<=30d (-10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2023-06-14|Joiner|Eintritt ins Unternehmen;2023-07-31|Grant|Berechtigung 'manage_identities' zugewiesen;2025-07-24|Recert|Letzte Rezertifizierung (bestätigt);2026-02-13|Login|Letzter Login
CASE-0064,USR-5986,Legal,,Payroll,Employee,read_reports,2020-01-21,2020-12-12,,2025-03-31,active,24,120,high,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Markus Hahn,Role-derived,Legal_Employee_Base,True,-2,retain,recent_login<=30d (-10); stale_access>90d (+8); high_privilege (+25); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2020-01-21|Joiner|Eintritt ins Unternehmen;2020-12-12|Grant|Berechtigung 'read_reports' zugewiesen;2025-03-31|Recert|Letzte Rezertifizierung (bestätigt);2026-02-16|Login|Letzter Login
CASE-0065,USR-7686,Legal,,IAM,Contractor,read_reports,2025-05-28,2025-12-29,,2025-11-17,active,176,189,low,0,Berechtigung ist für die Rolle 'Contractor' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Sara Vogel,Role-derived,Legal_Contractor_Base,True,28,retain,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),59.8,2025-05-28|Joiner|Eintritt ins Unternehmen;2025-09-17|Login|Letzter Login;2025-11-17|Recert|Letzte Rezertifizierung (bestätigt);2025-12-29|Grant|Berechtigung 'read_reports' zugewiesen
CASE-0066,USR-8450,Legal,,ERP,Employee,user_support,2023-06-20,2024-03-25,,2025-05-13,active,54,328,medium,1,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,Sara Vogel,Role-derived,Legal_Employee_Base,True,68,review,inactive_login>30d (+10); stale_access>180d (+18); medium_privilege (+10); toxic_combination (+40); no_department_change (-5); active_user (-5),52.8,2023-06-20|Joiner|Eintritt ins Unternehmen;2024-03-25|Grant|Berechtigung 'user_support' zugewiesen;2025-05-13|Recert|Letzte Rezertifizierung (bestätigt);2026-01-17|Login|Letzter Login
CASE-0067,USR-6383,Operations,,CRM,Employee,admin_console,2020-10-04,2021-07-21,,,active,0,141,high,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Lea Richter,Role-derived,Operations_Employee_Base,True,-7,retain,very_recent_login<=7d (-15); stale_access>90d (+8); high_privilege (+25); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2020-10-04|Joiner|Eintritt ins Unternehmen;2021-07-21|Grant|Berechtigung 'admin_console' zugewiesen;2026-03-12|Login|Letzter Login
CASE-0068,USR-4898,HR,,Ticketing,Analyst,manage_identities,2020-07-31,2021-07-05,,,terminated,4,89,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Tobias Franke,Role-derived,HR_Analyst_Base,False,-23,retain,very_recent_login<=7d (-15); access_used_last_quarter (-8); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); terminated_user_orphan (+30),99.0,2020-07-31|Joiner|Eintritt ins Unternehmen;2021-07-05|Grant|Berechtigung 'manage_identities' zugewiesen;2026-02-10|Leaver|Austritt aus dem Unternehmen;2026-03-08|Login|Letzter Login
CASE-0069,USR-5941,Sales,,Payroll,Employee,user_support,2023-05-29,2024-02-16,,2025-12-03,active,7,31,high,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,David Brandt,Role-derived,Sales_Employee_Base,True,-23,retain,very_recent_login<=7d (-15); access_used_last_quarter (-8); high_privilege (+25); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2023-05-29|Joiner|Eintritt ins Unternehmen;2024-02-16|Grant|Berechtigung 'user_support' zugewiesen;2025-12-03|Recert|Letzte Rezertifizierung (bestätigt);2026-03-05|Login|Letzter Login
CASE-0070,USR-9984,IT,,BI,Manager,manage_identities,2024-04-27,2024-06-04,,2026-01-30,active,97,305,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'BI' (Berechtigung: 'manage_identities').,IAM Platform Owner,Julia Neumann,Direct,,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2024-04-27|Joiner|Eintritt ins Unternehmen;2024-06-04|Grant|Berechtigung 'manage_identities' zugewiesen;2025-12-05|Login|Letzter Login;2026-01-30|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0071,USR-7532,Sales,,Payroll,Analyst,user_support,2025-07-13,2026-01-14,,2025-10-30,active,24,160,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,David Brandt,Role-derived,Sales_Analyst_Base,True,-37,retain,recent_login<=30d (-10); stale_access>90d (+8); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2025-07-13|Joiner|Eintritt ins Unternehmen;2025-10-30|Recert|Letzte Rezertifizierung (bestätigt);2026-01-14|Grant|Berechtigung 'user_support' zugewiesen;2026-02-16|Login|Letzter Login
CASE-0072,USR-1982,HR,Finance,Ticketing,Analyst,admin_console,2024-08-31,2024-10-05,2025-06-13,,active,143,168,medium,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Tobias Franke,Role-derived,HR_Analyst_Base,True,48,review,inactive_login>120d (+35); stale_access>90d (+8); medium_privilege (+10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),68.2,2024-08-31|Joiner|Eintritt ins Unternehmen;2024-10-05|Grant|Berechtigung 'admin_console' zugewiesen;2025-06-13|Mover|Abteilungswechsel von Finance nach HR;2025-10-20|Login|Letzter Login
CASE-0073,USR-2773,Finance,,IAM,Analyst,admin_console,2022-07-29,2023-06-02,,2025-07-04,active,94,58,medium,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Lars Hoffmann,Role-derived,Finance_Analyst_Base,True,-3,retain,inactive_login>60d (+20); access_used_last_quarter (-8); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2022-07-29|Joiner|Eintritt ins Unternehmen;2023-06-02|Grant|Berechtigung 'admin_console' zugewiesen;2025-07-04|Recert|Letzte Rezertifizierung (bestätigt);2025-12-08|Login|Letzter Login
CASE-0074,USR-6567,Legal,,IAM,Contractor,read_reports,2025-08-04,2025-08-11,,2025-08-17,active,46,445,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'IAM' (Berechtigung: 'read_reports').,Data Governance Team,Sara Vogel,Direct,,True,15,retain,inactive_login>30d (+10); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),78.0,2025-08-04|Joiner|Eintritt ins Unternehmen;2025-08-11|Grant|Berechtigung 'read_reports' zugewiesen;2025-08-17|Recert|Letzte Rezertifizierung (bestätigt);2026-01-25|Login|Letzter Login
CASE-0075,USR-6314,HR,,Ticketing,Analyst,admin_console,2019-09-10,2019-10-27,,2025-08-18,active,21,452,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Mara Klein,Role-derived,HR_Analyst_Base,True,-15,retain,recent_login<=30d (-10); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2019-09-10|Joiner|Eintritt ins Unternehmen;2019-10-27|Grant|Berechtigung 'admin_console' zugewiesen;2025-08-18|Recert|Letzte Rezertifizierung (bestätigt);2026-02-19|Login|Letzter Login
CASE-0076,USR-2816,Sales,,IAM,Employee,user_support,2024-02-07,2024-10-13,,2025-10-18,active,173,303,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'IAM' (Berechtigung: 'user_support').,Service Desk Owner,Pia Walter,Direct,,True,18,retain,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),73.8,2024-02-07|Joiner|Eintritt ins Unternehmen;2024-10-13|Grant|Berechtigung 'user_support' zugewiesen;2025-09-20|Login|Letzter Login;2025-10-18|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0077,USR-1126,HR,,Payroll,Contractor,user_support,2019-12-18,2019-12-22,,2025-05-12,active,110,89,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'Payroll' (Berechtigung: 'user_support').,Service Desk Owner,Mara Klein,Direct,,True,-13,retain,inactive_login>60d (+20); access_used_last_quarter (-8); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),99.0,2019-12-18|Joiner|Eintritt ins Unternehmen;2019-12-22|Grant|Berechtigung 'user_support' zugewiesen;2025-05-12|Recert|Letzte Rezertifizierung (bestätigt);2025-11-22|Login|Letzter Login
CASE-0078,USR-6129,Legal,,Ticketing,Admin,export_data,2023-04-27,2023-06-03,,2025-04-20,terminated,146,207,medium,0,Direkte Zuweisung für eine operative Tätigkeit in 'Ticketing' (Berechtigung: 'export_data').,Data Compliance Owner,Sara Vogel,Direct,,True,83,revoke,inactive_login>120d (+35); stale_access>180d (+18); medium_privilege (+10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); terminated_user_orphan (+30),68.2,2023-04-27|Joiner|Eintritt ins Unternehmen;2023-06-03|Grant|Berechtigung 'export_data' zugewiesen;2025-04-20|Recert|Letzte Rezertifizierung (bestätigt);2025-10-17|Login|Letzter Login;2026-01-21|Leaver|Austritt aus dem Unternehmen
CASE-0079,USR-9584,Finance,,ERP,Analyst,export_data,2024-07-04,2025-06-23,,2025-10-03,active,79,381,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'ERP' (Berechtigung: 'export_data').,Data Compliance Owner,Nina Weber,Direct,,True,15,retain,inactive_login>60d (+20); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),78.0,2024-07-04|Joiner|Eintritt ins Unternehmen;2025-06-23|Grant|Berechtigung 'export_data' zugewiesen;2025-10-03|Recert|Letzte Rezertifizierung (bestätigt);2025-12-23|Login|Letzter Login
CASE-0080,USR-3399,Sales,IT,IAM,Analyst,approve_payments,2025-04-19,2026-01-06,2026-02-28,2025-05-03,active,44,308,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'IAM' (Berechtigung: 'approve_payments').,Finance Access Owner,Pia Walter,Direct,,True,13,retain,inactive_login>30d (+10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),80.8,2025-04-19|Joiner|Eintritt ins Unternehmen;2025-05-03|Recert|Letzte Rezertifizierung (bestätigt);2026-01-06|Grant|Berechtigung 'approve_payments' zugewiesen;2026-01-27|Login|Letzter Login;2026-02-28|Mover|Abteilungswechsel von IT nach Sales
CASE-0081,USR-6295,Operations,,BI,Analyst,manage_identities,2024-11-20,2025-07-16,,2026-01-31,active,38,225,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Tim Behrens,Role-derived,Operations_Analyst_Base,True,-7,retain,inactive_login>30d (+10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2024-11-20|Joiner|Eintritt ins Unternehmen;2025-07-16|Grant|Berechtigung 'manage_identities' zugewiesen;2026-01-31|Recert|Letzte Rezertifizierung (bestätigt);2026-02-02|Login|Letzter Login
CASE-0082,USR-2257,Operations,Sales,BI,Manager,read_reports,2023-04-18,2024-01-03,2024-03-11,,terminated,157,304,low,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Lea Richter,Role-derived,Operations_Manager_Base,True,73,revoke,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); terminated_user_orphan (+30),54.2,2023-04-18|Joiner|Eintritt ins Unternehmen;2024-01-03|Grant|Berechtigung 'read_reports' zugewiesen;2024-03-11|Mover|Abteilungswechsel von Sales nach Operations;2025-10-06|Login|Letzter Login;2026-02-21|Leaver|Austritt aus dem Unternehmen
CASE-0083,USR-2381,Operations,Finance,Ticketing,Employee,user_support,2024-09-06,2025-05-21,2025-08-11,,active,44,20,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,Tim Behrens,Role-derived,Operations_Employee_Base,True,-17,retain,inactive_login>30d (+10); access_recently_used<=30d (-12); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),99.0,2024-09-06|Joiner|Eintritt ins Unternehmen;2025-05-21|Grant|Berechtigung 'user_support' zugewiesen;2025-08-11|Mover|Abteilungswechsel von Finance nach Operations;2026-01-27|Login|Letzter Login
CASE-0084,USR-6482,Sales,,ERP,Manager,manage_identities,2023-06-06,2023-12-14,,2026-01-29,active,24,285,medium,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Pia Walter,Role-derived,Sales_Manager_Base,True,-7,retain,recent_login<=30d (-10); stale_access>180d (+18); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2023-06-06|Joiner|Eintritt ins Unternehmen;2023-12-14|Grant|Berechtigung 'manage_identities' zugewiesen;2026-01-29|Recert|Letzte Rezertifizierung (bestätigt);2026-02-16|Login|Letzter Login
